Semester Number,Degree
1,BS Computer Science
2,BS Computer Science
3,BS Computer Science
4,BS Computer Science
5,BS Computer Science
6,BS Computer Science
7,BS Computer Science
8,BS Computer Science
1,BS Cyber Security
2,BS Cyber Security
3,BS Cyber Security
4,BS Cyber Security
5,BS Cyber Security
6,BS Cyber Security
7,BS Cyber Security
8,BS Cyber Security
1,BS Artificial Intelligence
2,BS Artificial Intelligence
3,BS Artificial Intelligence
4,BS Artificial Intelligence
5,BS Artificial Intelligence
6,BS Artificial Intelligence
7,BS Artificial Intelligence
8,BS Artificial Intelligence
